No.,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
1,-122.12,37.7,17,2488,617,1287,538,2.9922,179900,NEAR BAY
2,-122.21,38.1,36,3018,557,1445,556,3.8029,129900,NEAR BAY
3,-122.22,38.11,43,1939,353,968,392,3.1848,112700,NEAR BAY
4,-122.2,37.78,52,2300,443,1225,423,3.5398,158400,NEAR BAY
5,-122.19,37.79,50,954,217,546,201,2.6667,172800,NEAR BAY
6,-122.19,37.76,26,1293,297,984,303,1.9479,85800,NEAR BAY
7,-122.17,37.74,43,818,193,494,179,2.4776,101600,NEAR BAY
8,-122.18,37.75,46,941,218,621,195,1.325,87100,NEAR BAY
9,-122.16,37.75,38,2457,624,1516,482,1.5625,91700,NEAR BAY
10,-122.14,37.75,33,1334,200,579,202,6.8323,255900,NEAR BAY
11,-122.33,37.89,42,1342,291,551,266,4.5268,207400,NEAR BAY
12,-122.27,37.89,52,2640,366,973,355,7.266,371100,NEAR BAY
13,-122.26,37.88,52,2604,837,1798,769,1.725,287500,NEAR BAY
14,-122.25,37.77,52,1038,220,482,215,3.1771,210200,NEAR BAY
15,-122.24,37.72,5,18634,2885,7427,2718,7.611,350700,NEAR BAY
16,-122.11,37.71,36,4569,824,1950,819,4.65,206800,NEAR BAY
17,-122.09,37.71,31,1843,282,749,269,5.2855,253500,NEAR BAY
18,-122.1,37.71,27,6740,1073,2723,1035,5.2131,252500,NEAR BAY
19,-122.07,37.7,39,1420,272,645,277,4.125,232500,NEAR BAY
20,-122.18,37.71,45,726,147,519,135,3.375,157500,NEAR BAY
21,-122.16,37.72,10,2229,601,877,485,3.3431,137500,NEAR BAY
22,-122.12,37.71,35,1037,207,552,210,4,167900,NEAR BAY
23,-122.14,37.71,18,3905,1007,2197,1044,3.6932,166800,NEAR BAY
24,-122.17,37.7,24,1755,365,952,362,4,202600,NEAR BAY
25,-122.03,37.69,20,200,25,83,31,6.5,340000,NEAR BAY
26,-122.04,37.63,21,1307,236,586,249,4.7813,241900,NEAR BAY
27,-122.08,37.68,26,2607,682,1401,607,2.6563,184100,NEAR BAY
28,-122.14,37.67,34,3036,533,1366,500,4.2386,192300,NEAR BAY
29,-122.1,37.66,34,656,115,342,112,4.6875,200600,NEAR BAY
30,-122.08,37.64,36,1116,199,662,226,5.7309,177900,NEAR BAY
31,-122.04,37.62,35,899,179,455,185,4.2857,190400,NEAR BAY
32,-122.09,37.63,35,1213,221,790,243,4.7019,174100,NEAR BAY
33,-122.06,37.6,18,1726,276,1186,310,5.3226,231700,NEAR BAY
34,-121.96,37.58,15,3575,597,1777,559,5.7192,283500,<1H OCEAN
35,-122.01,37.57,14,16199,2993,8117,2847,5.8322,281800,NEAR BAY
36,-122.05,37.57,7,10648,1818,6075,1797,6.1047,278200,NEAR BAY
37,-121.95,37.54,29,3517,645,1724,585,4.6641,248900,<1H OCEAN
38,-121.98,37.53,28,2829,566,1610,540,4.6,223200,<1H OCEAN
39,-121.98,37.53,26,3179,703,2142,639,4.1947,222700,<1H OCEAN
40,-121.92,37.72,4,7477,1576,2937,1506,5.1437,299400,<1H OCEAN
41,-121.93,37.72,26,2806,459,1453,444,4.9107,213800,<1H OCEAN
42,-121.88,37.67,16,4070,624,1543,577,6.5214,311500,INLAND
43,-121.87,37.66,39,522,116,161,102,2.4896,238500,INLAND
44,-121.87,37.67,10,4337,800,1813,743,5.5,247200,INLAND
45,-121.85,37.68,4,4719,741,1895,742,6.8132,282500,INLAND
46,-121.85,37.66,14,4236,701,1833,663,5.6399,300600,INLAND
47,-120.59,38.45,13,2944,558,1091,466,3,119000,INLAND
48,-120.97,38.42,16,1748,322,4930,287,4.3029,121900,INLAND
49,-120.71,38.34,16,1257,231,559,213,4.4531,144300,INLAND
50,-121.87,39.75,22,1707,296,822,297,3.6625,126600,INLAND
51,-121.59,39.77,24,1535,276,664,273,2.3068,97300,INLAND
52,-121.58,39.79,19,2636,523,1184,465,2.7863,108600,INLAND
53,-121.6,39.77,23,2263,497,1138,455,2.3403,87300,INLAND
54,-121.36,39.52,15,2490,527,1229,497,2.3917,85700,INLAND
55,-121.52,39.49,30,1217,238,677,233,2.6563,63600,INLAND
56,-120.88,38.16,8,2029,387,1000,364,4.0109,125900,INLAND
57,-120.91,38.11,9,3585,680,1800,598,3.636,133100,INLAND
58,-120.76,38.12,7,7188,1288,3175,1115,3.8488,130600,INLAND
59,-121.83,37.99,16,2919,462,1456,453,5.6779,164700,INLAND
60,-122.09,37.99,19,3073,506,1773,493,5.4496,205400,NEAR BAY
61,-122.09,37.97,5,5303,779,2017,727,6.9961,294100,NEAR BAY
62,-122.09,37.98,14,5381,871,2296,872,5.6875,211000,NEAR BAY
63,-122.07,37.98,12,6915,1639,2940,1468,4.0154,186100,NEAR BAY
64,-122.02,37.98,37,1474,343,782,331,3.4187,161700,NEAR BAY
65,-122,37.98,31,2030,337,867,341,5.0915,193200,INLAND
66,-122.04,37.96,27,2587,729,1500,623,1.837,175000,NEAR BAY
67,-122.02,37.96,25,2615,368,935,366,6.6727,305100,NEAR BAY
68,-122.04,37.95,29,866,138,341,133,4.7188,197100,NEAR BAY
69,-121.94,37.73,22,1980,291,861,290,6.2726,258200,<1H OCEAN
70,-121.94,37.75,16,5121,735,2464,761,6.6204,296100,<1H OCEAN
